epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.795,3.1713,3.64806,3.45227,0.54547,0.36061,0.38328,0.16998,1.84726,23.6845,2.07468,0.00333024,0.00333024,0.00333024
2,345.172,2.04951,1.92084,2.07964,0.78532,0.56362,0.65704,0.33911,1.49861,17.6261,1.61437,0.00661959,0.00661959,0.00661959
3,506.683,1.75535,1.48773,1.74993,0.82274,0.63992,0.72287,0.38922,1.40135,15.5483,1.49981,0.00986495,0.00986495,0.00986495
4,666.743,1.63635,1.30411,1.64153,0.86552,0.68213,0.77172,0.43759,1.31794,4.6455,1.42526,0.009802,0.009802,0.009802
5,826.985,1.56086,1.15617,1.55478,0.8687,0.72578,0.81158,0.45884,1.28141,8.20908,1.37335,0.009736,0.009736,0.009736
6,987.934,1.52268,1.0812,1.52821,0.87748,0.74415,0.82397,0.4918,1.22507,5.23858,1.3251,0.00967,0.00967,0.00967
7,1148.58,1.47866,1.02046,1.49801,0.87976,0.75357,0.83192,0.4977,1.20028,3.09765,1.29964,0.009604,0.009604,0.009604
8,1310.37,1.4559,0.98842,1.48157,0.9028,0.76299,0.84314,0.51463,1.18353,2.23131,1.28271,0.009538,0.009538,0.009538
9,1471.38,1.43525,0.95421,1.4632,0.89815,0.76855,0.84621,0.5132,1.17622,5.40183,1.2681,0.009472,0.009472,0.009472
10,1633.13,1.42427,0.92738,1.45605,0.90116,0.78076,0.85533,0.52816,1.15646,2.99797,1.25668,0.009406,0.009406,0.009406
11,1793.91,1.40907,0.91581,1.4399,0.90589,0.79219,0.85856,0.53293,1.13731,2.7598,1.2413,0.00934,0.00934,0.00934
12,1955.12,1.39253,0.88962,1.42712,0.91661,0.78697,0.86322,0.5352,1.13177,2.18578,1.23551,0.009274,0.009274,0.009274
13,2115.63,1.39262,0.88473,1.42039,0.90831,0.7932,0.865,0.53479,1.13437,2.50494,1.23436,0.009208,0.009208,0.009208
14,2276.6,1.37363,0.8662,1.41319,0.91712,0.80155,0.87353,0.54389,1.11813,1.94429,1.21697,0.009142,0.009142,0.009142
15,2437.59,1.36535,0.85302,1.40499,0.91399,0.80196,0.87123,0.54387,1.11491,2.01782,1.21498,0.009076,0.009076,0.009076
16,2598.31,1.36892,0.84111,1.40682,0.91382,0.80342,0.87234,0.54802,1.09968,1.32042,1.20151,0.00901,0.00901,0.00901
17,2758.89,1.35452,0.82932,1.39344,0.91439,0.80758,0.87456,0.54749,1.09929,2.81557,1.19745,0.008944,0.008944,0.008944
18,2919.15,1.34667,0.82799,1.38805,0.9125,0.81339,0.87842,0.55388,1.0895,1.70664,1.18976,0.008878,0.008878,0.008878
19,3079.89,1.33736,0.81874,1.38248,0.91469,0.8178,0.87741,0.55327,1.0936,2.26662,1.18906,0.008812,0.008812,0.008812
20,3241.01,1.34615,0.81495,1.38272,0.9183,0.81578,0.88101,0.56117,1.07451,2.01524,1.17091,0.008746,0.008746,0.008746
21,3402.65,1.33975,0.80971,1.38215,0.91762,0.8152,0.88201,0.56068,1.07703,2.41176,1.17325,0.00868,0.00868,0.00868
22,3564.01,1.32808,0.80122,1.37121,0.91286,0.82691,0.88779,0.56493,1.0684,1.94352,1.16813,0.008614,0.008614,0.008614
23,3724.02,1.33099,0.80618,1.37679,0.92203,0.82415,0.88628,0.56314,1.07066,1.9027,1.16803,0.008548,0.008548,0.008548
24,3877.94,1.32044,0.78862,1.36698,0.92118,0.82432,0.88869,0.56644,1.07006,1.87476,1.16969,0.008482,0.008482,0.008482
25,4031.97,1.31883,0.78759,1.36459,0.92365,0.83025,0.8896,0.56746,1.05632,1.69095,1.15728,0.008416,0.008416,0.008416
26,4191.98,1.31473,0.78082,1.3581,0.92188,0.82691,0.88713,0.56869,1.05421,1.70324,1.15527,0.00835,0.00835,0.00835
27,4352.05,1.30733,0.77085,1.35523,0.92708,0.82766,0.89284,0.57245,1.05817,1.81905,1.1584,0.008284,0.008284,0.008284
28,4512.41,1.30757,0.77371,1.35162,0.92608,0.82557,0.89258,0.57455,1.04211,1.71799,1.14513,0.008218,0.008218,0.008218
29,4672.85,1.30495,0.76712,1.35483,0.92035,0.83338,0.89545,0.57619,1.0497,1.52125,1.15192,0.008152,0.008152,0.008152
30,4832.59,1.30466,0.76295,1.35246,0.92292,0.83453,0.89575,0.57594,1.04449,1.662,1.14741,0.008086,0.008086,0.008086
