epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4026.88,1.19457,0.64111,0.99937,0.92208,0.81931,0.88463,0.57255,0.9825,1.8572,0.8643,0.00307,0.00307,0.00307
44,4098.09,1.19307,0.63458,0.99703,0.92392,0.82052,0.88551,0.57256,0.98531,1.89582,0.86416,0.002905,0.002905,0.002905
45,4169.66,1.18457,0.63099,0.99478,0.92388,0.82195,0.88532,0.57198,0.98299,1.88975,0.86161,0.00274,0.00274,0.00274
46,4240.66,1.18323,0.6281,0.99577,0.92194,0.82134,0.88532,0.57236,0.98028,1.9426,0.86099,0.002575,0.002575,0.002575
47,4311.31,1.17249,0.62168,0.9947,0.92225,0.82357,0.88472,0.57413,0.9777,1.98117,0.86012,0.00241,0.00241,0.00241
48,4381.9,1.17583,0.62092,0.99477,0.92743,0.82129,0.88681,0.57415,0.97932,2.14154,0.86119,0.002245,0.002245,0.002245
49,4454.65,1.17302,0.61777,0.99073,0.92486,0.82422,0.88707,0.57414,0.97924,2.0353,0.86112,0.00208,0.00208,0.00208
50,4526.53,1.17446,0.61122,0.98976,0.92705,0.82463,0.88679,0.57415,0.97695,2.10329,0.86091,0.001915,0.001915,0.001915
51,4601.54,1.1364,0.54583,0.97682,0.92511,0.82524,0.88694,0.57532,0.97323,1.8859,0.86031,0.00175,0.00175,0.00175
52,4671.24,1.12908,0.53849,0.97367,0.92383,0.82691,0.88677,0.5766,0.972,1.77186,0.8599,0.001585,0.001585,0.001585
53,4741.19,1.12698,0.5359,0.97252,0.92752,0.8258,0.88804,0.57712,0.9721,1.62806,0.85938,0.00142,0.00142,0.00142
54,4811.7,1.11679,0.52999,0.96958,0.92817,0.82675,0.889,0.57859,0.97116,1.52384,0.85848,0.001255,0.001255,0.001255
55,4882.42,1.11328,0.52381,0.96768,0.92691,0.82994,0.88964,0.57972,0.97081,1.44547,0.85886,0.00109,0.00109,0.00109
56,4956.76,1.10763,0.51897,0.96478,0.92669,0.83104,0.88955,0.58,0.97105,1.43703,0.85967,0.000925,0.000925,0.000925
57,5027.19,1.10006,0.50797,0.96394,0.9269,0.83176,0.88953,0.57953,0.97045,1.4385,0.85961,0.00076,0.00076,0.00076
58,5097.32,1.09374,0.50426,0.96123,0.92656,0.82949,0.88858,0.58044,0.97014,1.40064,0.85982,0.000595,0.000595,0.000595
59,5208.42,1.09006,0.50154,0.9578,0.92512,0.82921,0.8879,0.58012,0.97056,1.4042,0.86017,0.00043,0.00043,0.00043
60,5351.01,1.0788,0.4974,0.95564,0.92653,0.82858,0.8879,0.58029,0.97107,1.41551,0.86023,0.000265,0.000265,0.000265
