epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5092.46,1.71692,1.50864,1.66717,0.78179,0.60462,0.69082,0.37474,1.43198,10.0209,1.40515,0.0083764,0.0083764,0.0083764
43,5213.92,1.71292,1.49692,1.65955,0.7816,0.60917,0.69252,0.37396,1.43354,9.88155,1.40472,0.0083368,0.0083368,0.0083368
44,5335.5,1.71472,1.50005,1.66175,0.77516,0.61524,0.69442,0.37485,1.43487,9.86538,1.40695,0.0082972,0.0082972,0.0082972
45,5456.35,1.71527,1.49096,1.65594,0.77749,0.61691,0.69503,0.37578,1.43307,9.78992,1.40597,0.0082576,0.0082576,0.0082576
46,5577.2,1.72138,1.47561,1.66351,0.78382,0.61217,0.69508,0.37587,1.4316,9.73733,1.40516,0.008218,0.008218,0.008218
47,5699.55,1.70841,1.47427,1.65235,0.7857,0.61039,0.69445,0.37542,1.43079,9.80547,1.40436,0.0081784,0.0081784,0.0081784
48,5820.1,1.71442,1.48767,1.65942,0.78577,0.60978,0.69559,0.37622,1.42924,9.89715,1.40354,0.0081388,0.0081388,0.0081388
49,5940.36,1.71089,1.48765,1.65605,0.78809,0.60978,0.69593,0.37718,1.42764,9.86933,1.40349,0.0080992,0.0080992,0.0080992
50,6061.78,1.70388,1.47829,1.65078,0.79102,0.60887,0.69603,0.37793,1.42663,9.90782,1.40228,0.0080596,0.0080596,0.0080596
51,6183.68,1.70856,1.47509,1.65192,0.79705,0.60689,0.69563,0.3776,1.42612,9.82894,1.40145,0.00802,0.00802,0.00802
52,6304.72,1.70102,1.48159,1.65632,0.79489,0.60846,0.69553,0.37774,1.42604,9.83067,1.40109,0.0079804,0.0079804,0.0079804
53,6425.76,1.70651,1.47708,1.65117,0.79042,0.61273,0.6965,0.37733,1.42582,9.66347,1.40054,0.0079408,0.0079408,0.0079408
54,6546.56,1.70563,1.47038,1.6564,0.7944,0.60896,0.69656,0.37751,1.42621,9.59342,1.40045,0.0079012,0.0079012,0.0079012
55,6667.51,1.71076,1.47995,1.65712,0.79228,0.60978,0.69648,0.37783,1.42517,9.62257,1.40026,0.0078616,0.0078616,0.0078616
56,6787.85,1.70035,1.46509,1.65082,0.78849,0.61076,0.69663,0.378,1.42517,9.60375,1.39956,0.007822,0.007822,0.007822
57,6909.06,1.71081,1.47198,1.66518,0.79148,0.6113,0.69779,0.37802,1.42449,9.53645,1.39905,0.0077824,0.0077824,0.0077824
