epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6330.3,1.32023,0.78765,1.31585,0.9109,0.82893,0.88895,0.57188,1.05098,1.63862,1.11239,0.007228,0.007228,0.007228
44,6476.77,1.30487,0.78177,1.31078,0.91404,0.82827,0.8907,0.57241,1.04826,1.58484,1.10786,0.007162,0.007162,0.007162
45,6623.22,1.31307,0.78664,1.31209,0.9145,0.82992,0.89103,0.57372,1.04843,1.58433,1.1078,0.007096,0.007096,0.007096
46,6768.94,1.31086,0.78659,1.30883,0.91692,0.82706,0.89117,0.57383,1.04687,1.56299,1.10671,0.00703,0.00703,0.00703
47,6914.6,1.30691,0.78151,1.30978,0.92095,0.82612,0.89193,0.57504,1.04646,1.60186,1.10689,0.006964,0.006964,0.006964
48,7060.49,1.30559,0.78004,1.30785,0.91542,0.83101,0.89249,0.57604,1.0458,1.63763,1.10434,0.006898,0.006898,0.006898
49,7206.93,1.30281,0.77108,1.30181,0.91566,0.83055,0.89201,0.57567,1.04446,1.63138,1.10168,0.006832,0.006832,0.006832
50,7352.95,1.30404,0.7717,1.3051,0.92432,0.82522,0.89147,0.57567,1.04452,1.60765,1.10172,0.006766,0.006766,0.006766
51,7499.45,1.29775,0.76401,1.29472,0.91736,0.8309,0.89198,0.57625,1.04346,1.63187,1.10019,0.0067,0.0067,0.0067
52,7645.55,1.30055,0.77022,1.30487,0.91854,0.83055,0.89174,0.57584,1.04364,1.61884,1.10007,0.006634,0.006634,0.006634
53,7791.6,1.30078,0.77264,1.29902,0.9172,0.83257,0.89156,0.57635,1.0425,1.60628,1.09884,0.006568,0.006568,0.006568
54,7936.82,1.29651,0.76656,1.29964,0.91736,0.83283,0.8925,0.57694,1.04187,1.5808,1.09834,0.006502,0.006502,0.006502
55,8082.23,1.29562,0.76495,1.29522,0.91684,0.83194,0.89244,0.57638,1.04105,1.55188,1.09746,0.006436,0.006436,0.006436
56,8227.84,1.29597,0.76737,1.29742,0.91871,0.83237,0.89316,0.57706,1.04114,1.51693,1.09721,0.00637,0.00637,0.00637
57,8374.41,1.29626,0.76996,1.29702,0.91913,0.82964,0.89331,0.57739,1.04013,1.51707,1.09635,0.006304,0.006304,0.006304
58,8519.86,1.28209,0.75634,1.29482,0.91882,0.83146,0.89276,0.57744,1.04037,1.52923,1.09631,0.006238,0.006238,0.006238
59,8666.1,1.29178,0.7583,1.29367,0.91876,0.83113,0.89319,0.57759,1.04064,1.54347,1.09676,0.006172,0.006172,0.006172
60,8812.29,1.28794,0.75282,1.28662,0.91956,0.83101,0.8931,0.5774,1.03999,1.54925,1.09588,0.006106,0.006106,0.006106
61,8958.28,1.28638,0.75542,1.28834,0.92029,0.83095,0.89355,0.57757,1.03944,1.54478,1.09519,0.00604,0.00604,0.00604
62,9103.96,1.28995,0.75337,1.29036,0.9196,0.83146,0.89391,0.57852,1.03945,1.54393,1.09492,0.005974,0.005974,0.005974
63,9249.41,1.28751,0.75081,1.29055,0.9213,0.83101,0.89483,0.57869,1.0392,1.54257,1.09463,0.005908,0.005908,0.005908
64,9394.37,1.28667,0.75228,1.28822,0.92293,0.82949,0.89496,0.57848,1.03874,1.54628,1.0941,0.005842,0.005842,0.005842
65,9540.52,1.28573,0.74904,1.28716,0.92145,0.82998,0.89486,0.57836,1.03873,1.53397,1.09376,0.005776,0.005776,0.005776
66,9686.28,1.2851,0.75192,1.28589,0.92013,0.83091,0.89507,0.57843,1.03852,1.52423,1.09347,0.00571,0.00571,0.00571
67,9831.89,1.27786,0.74463,1.28137,0.91697,0.83504,0.89454,0.57876,1.03813,1.52355,1.09309,0.005644,0.005644,0.005644
68,9977.53,1.27713,0.7416,1.27886,0.92024,0.83218,0.89493,0.57943,1.03793,1.52334,1.09276,0.005578,0.005578,0.005578
69,10123.6,1.27543,0.74385,1.27766,0.92016,0.83294,0.89509,0.57966,1.03773,1.51989,1.09248,0.005512,0.005512,0.005512
70,10269.3,1.27498,0.73931,1.28006,0.92152,0.83146,0.89508,0.57956,1.03768,1.5087,1.09211,0.005446,0.005446,0.005446
71,10415.2,1.27589,0.73783,1.27675,0.92215,0.83146,0.89508,0.57979,1.03722,1.50007,1.09137,0.00538,0.00538,0.00538
72,10561.4,1.26897,0.73785,1.27809,0.92277,0.83089,0.89536,0.57981,1.03708,1.49757,1.09117,0.005314,0.005314,0.005314
73,10707.8,1.26935,0.72834,1.2722,0.922,0.83222,0.89557,0.58031,1.03643,1.49005,1.09057,0.005248,0.005248,0.005248
74,10853.7,1.27559,0.73596,1.27595,0.92143,0.83154,0.89534,0.58008,1.03643,1.48419,1.09034,0.005182,0.005182,0.005182
75,11000.3,1.26852,0.73081,1.26961,0.92223,0.8307,0.89515,0.58043,1.03615,1.47753,1.08996,0.005116,0.005116,0.005116
76,11151.5,1.26212,0.72924,1.27055,0.92285,0.83055,0.8951,0.58052,1.03592,1.48114,1.08973,0.00505,0.00505,0.00505
77,11298.7,1.27097,0.72779,1.26981,0.92337,0.83116,0.89543,0.581,1.03586,1.47938,1.08917,0.004984,0.004984,0.004984
78,11445,1.27307,0.73127,1.27425,0.92261,0.8309,0.89541,0.58111,1.03505,1.4725,1.0883,0.004918,0.004918,0.004918
79,11591,1.26003,0.73204,1.26676,0.92302,0.8304,0.8956,0.58097,1.03506,1.4679,1.08804,0.004852,0.004852,0.004852
80,11737.2,1.26184,0.72088,1.26434,0.92115,0.83328,0.8961,0.58144,1.03495,1.46328,1.08757,0.004786,0.004786,0.004786
81,11883.7,1.26666,0.72646,1.26887,0.9243,0.83101,0.89629,0.58171,1.03414,1.46089,1.08646,0.00472,0.00472,0.00472
82,12030.4,1.25896,0.72901,1.26546,0.92477,0.83058,0.8963,0.58177,1.03364,1.4572,1.08554,0.004654,0.004654,0.004654
83,12176.8,1.25408,0.71743,1.26609,0.92525,0.83073,0.89635,0.582,1.03321,1.45548,1.08492,0.004588,0.004588,0.004588
84,12322.7,1.25756,0.72046,1.25956,0.92553,0.83009,0.89617,0.58227,1.0326,1.45141,1.08454,0.004522,0.004522,0.004522
85,12469,1.25831,0.71635,1.26432,0.9256,0.83119,0.89661,0.58233,1.03229,1.44673,1.08414,0.004456,0.004456,0.004456
86,12614.9,1.25182,0.71081,1.25615,0.9242,0.83176,0.89659,0.58258,1.03224,1.43752,1.08386,0.00439,0.00439,0.00439
87,12760.9,1.25933,0.71667,1.26146,0.92528,0.83146,0.89657,0.58256,1.03188,1.43699,1.08344,0.004324,0.004324,0.004324
88,12907.3,1.25415,0.7187,1.25863,0.92586,0.83101,0.89625,0.58306,1.03164,1.43318,1.08305,0.004258,0.004258,0.004258
89,13053.9,1.25434,0.70912,1.25129,0.92547,0.83207,0.89676,0.5833,1.03153,1.43078,1.08267,0.004192,0.004192,0.004192
90,13200.7,1.2486,0.70763,1.25605,0.92668,0.83146,0.89714,0.58318,1.03108,1.42413,1.08221,0.004126,0.004126,0.004126
91,13346.8,1.25133,0.71161,1.25653,0.92565,0.83181,0.89728,0.58375,1.03074,1.41772,1.08167,0.00406,0.00406,0.00406
92,13493.5,1.25304,0.70602,1.25704,0.92581,0.83181,0.89754,0.584,1.03031,1.41154,1.08128,0.003994,0.003994,0.003994
93,13639.6,1.2464,0.70071,1.24879,0.92515,0.83268,0.8978,0.58437,1.03008,1.40774,1.08077,0.003928,0.003928,0.003928
94,13785.3,1.24077,0.69824,1.25095,0.92484,0.83268,0.89808,0.58457,1.02969,1.3997,1.08028,0.003862,0.003862,0.003862
95,13931,1.24342,0.70375,1.25181,0.92866,0.83268,0.89896,0.58503,1.02966,1.39138,1.0799,0.003796,0.003796,0.003796
96,14077.5,1.24079,0.69692,1.25061,0.92798,0.83283,0.89886,0.58502,1.02958,1.38174,1.07964,0.00373,0.00373,0.00373
97,14223.2,1.24526,0.69931,1.25108,0.92908,0.83192,0.89865,0.58534,1.02968,1.37569,1.07956,0.003664,0.003664,0.003664
98,14369.1,1.23437,0.69375,1.24582,0.92646,0.83401,0.89901,0.58568,1.0292,1.36883,1.07909,0.003598,0.003598,0.003598
99,14515.4,1.24751,0.70291,1.25093,0.93127,0.83114,0.89986,0.58576,1.0289,1.36355,1.07848,0.003532,0.003532,0.003532
100,14662,1.24341,0.69888,1.24783,0.92996,0.83258,0.9,0.58594,1.02836,1.36127,1.07792,0.003466,0.003466,0.003466
101,14809.6,1.24186,0.69952,1.2445,0.93062,0.83222,0.89973,0.58604,1.02836,1.35447,1.07748,0.0034,0.0034,0.0034
102,14955.3,1.24073,0.69577,1.24754,0.93087,0.83211,0.89972,0.58681,1.0282,1.35106,1.07731,0.003334,0.003334,0.003334
103,15101.2,1.23769,0.68573,1.24215,0.93084,0.83181,0.89928,0.58691,1.02805,1.3439,1.07692,0.003268,0.003268,0.003268
104,15249.4,1.23874,0.68901,1.24104,0.93099,0.83237,0.89945,0.58698,1.02813,1.33621,1.07649,0.003202,0.003202,0.003202
105,15396.7,1.23192,0.68861,1.2406,0.92724,0.83435,0.89916,0.58717,1.02807,1.32827,1.0761,0.003136,0.003136,0.003136
106,15542.6,1.24698,0.69223,1.25063,0.92732,0.83419,0.89927,0.58727,1.02783,1.32161,1.07576,0.00307,0.00307,0.00307
107,15688.4,1.22965,0.68941,1.23893,0.92742,0.83526,0.89957,0.58743,1.02731,1.31494,1.0751,0.003004,0.003004,0.003004
108,15834.4,1.22872,0.68377,1.23001,0.92703,0.83519,0.8995,0.58785,1.027,1.30613,1.07454,0.002938,0.002938,0.002938
109,15980.6,1.22261,0.68081,1.23501,0.92713,0.83458,0.89997,0.58819,1.02669,1.29409,1.07402,0.002872,0.002872,0.002872
110,16126.6,1.23321,0.68274,1.24038,0.92745,0.83459,0.89993,0.58827,1.0264,1.28501,1.07357,0.002806,0.002806,0.002806
111,16272.8,1.22376,0.67898,1.2343,0.92672,0.8351,0.89982,0.58848,1.02623,1.28128,1.07308,0.00274,0.00274,0.00274
112,16418.7,1.22466,0.67621,1.2268,0.92766,0.83535,0.89994,0.58867,1.02611,1.27347,1.07276,0.002674,0.002674,0.002674
113,16564.7,1.22502,0.67601,1.23301,0.9277,0.83585,0.90023,0.58936,1.02613,1.2689,1.07227,0.002608,0.002608,0.002608
114,16711.1,1.22036,0.66946,1.22674,0.92786,0.83571,0.90027,0.5894,1.02616,1.26496,1.07191,0.002542,0.002542,0.002542
115,16857.5,1.22505,0.67355,1.23404,0.92817,0.83556,0.90032,0.58931,1.02572,1.25768,1.07137,0.002476,0.002476,0.002476
116,17003.5,1.21304,0.67452,1.2269,0.92848,0.83495,0.90049,0.58975,1.02576,1.25155,1.07084,0.00241,0.00241,0.00241
117,17149.9,1.21692,0.67015,1.22879,0.92888,0.83488,0.90031,0.58975,1.02539,1.24865,1.07034,0.002344,0.002344,0.002344
118,17296.4,1.22061,0.67087,1.22439,0.92992,0.8345,0.9006,0.59001,1.02513,1.24607,1.06979,0.002278,0.002278,0.002278
119,17442.9,1.22243,0.6686,1.2274,0.93035,0.83389,0.90048,0.59005,1.02469,1.24249,1.06921,0.002212,0.002212,0.002212
120,17588.7,1.22061,0.66921,1.22671,0.92988,0.83465,0.90082,0.59024,1.0242,1.23752,1.0684,0.002146,0.002146,0.002146
121,17735.3,1.21399,0.66248,1.22503,0.93004,0.83465,0.90094,0.59075,1.02398,1.2342,1.06794,0.00208,0.00208,0.00208
122,17881.8,1.21359,0.65831,1.22417,0.93143,0.83359,0.90104,0.59112,1.02338,1.23104,1.06729,0.002014,0.002014,0.002014
123,18028.4,1.21563,0.66484,1.22178,0.93114,0.83419,0.90118,0.59129,1.02328,1.225,1.0669,0.001948,0.001948,0.001948
124,18174.3,1.21407,0.66729,1.22449,0.93118,0.83412,0.9012,0.59148,1.0231,1.22559,1.06653,0.001882,0.001882,0.001882
125,18321.6,1.20599,0.65671,1.21728,0.93087,0.83412,0.901,0.59171,1.0226,1.22125,1.06608,0.001816,0.001816,0.001816
126,18467.9,1.2065,0.65562,1.22269,0.92729,0.83586,0.90111,0.59201,1.02234,1.21668,1.06568,0.00175,0.00175,0.00175
127,18613.9,1.20328,0.65583,1.21597,0.92772,0.83599,0.90134,0.59203,1.02201,1.21449,1.06531,0.001684,0.001684,0.001684
128,18760.2,1.20731,0.66084,1.2245,0.92682,0.83662,0.90143,0.59228,1.02173,1.2103,1.0649,0.001618,0.001618,0.001618
129,18906.5,1.20028,0.65428,1.21701,0.92743,0.83632,0.90122,0.59278,1.02135,1.20782,1.06443,0.001552,0.001552,0.001552
130,19056.7,1.20104,0.65147,1.21043,0.92563,0.83677,0.90101,0.59241,1.02099,1.20473,1.06389,0.001486,0.001486,0.001486
