epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,311.94,3.70792,3.43049,3.31382,0.4538,0.31916,0.29557,0.11486,2.03474,30.0759,1.82128,0.00332715,0.00332715,0.00332715
2,384.137,2.23336,1.84523,1.77976,0.6697,0.45399,0.51152,0.25025,1.63821,41.5493,1.40734,0.00661652,0.00661652,0.00661652
3,455.817,1.93807,1.54217,1.52138,0.72787,0.51731,0.58189,0.28164,1.55882,27.1323,1.35285,0.0098619,0.0098619,0.0098619
4,521.77,1.80257,1.38355,1.43014,0.79785,0.57425,0.65653,0.34094,1.45542,8.80585,1.24549,0.009802,0.009802,0.009802
5,588.415,1.70312,1.24577,1.37606,0.80092,0.61818,0.69656,0.37016,1.41796,14.6724,1.2303,0.009736,0.009736,0.009736
6,654.696,1.63985,1.1685,1.33735,0.83281,0.63154,0.71732,0.39417,1.34226,8.41106,1.17578,0.00967,0.00967,0.00967
7,746.813,1.61023,1.12199,1.31625,0.83929,0.62326,0.71218,0.38993,1.34145,4.01399,1.17494,0.009604,0.009604,0.009604
8,813.32,1.58539,1.08562,1.30312,0.84911,0.65965,0.73871,0.41844,1.30054,4.48587,1.15279,0.009538,0.009538,0.009538
9,908.052,1.56165,1.06442,1.29392,0.84096,0.657,0.73704,0.40384,1.33143,5.4841,1.16447,0.009472,0.009472,0.009472
10,1085.53,1.54022,1.03545,1.27718,0.86235,0.68175,0.76369,0.43159,1.26111,7.16477,1.12086,0.009406,0.009406,0.009406
11,1202.23,1.5175,1.00966,1.26915,0.85282,0.68977,0.76879,0.43928,1.24811,8.62322,1.11191,0.00934,0.00934,0.00934
12,1294.89,1.51347,0.99864,1.26098,0.87486,0.68069,0.76742,0.43739,1.25758,3.34599,1.11234,0.009274,0.009274,0.009274
13,1361.08,1.49862,0.97899,1.25535,0.86508,0.7029,0.77787,0.43898,1.23182,4.95684,1.10086,0.009208,0.009208,0.009208
14,1427.65,1.48681,0.97567,1.25609,0.86928,0.7068,0.78526,0.45041,1.20878,4.81381,1.07629,0.009142,0.009142,0.009142
15,1494.8,1.47605,0.96055,1.24318,0.87425,0.70939,0.78794,0.45898,1.2125,6.2544,1.08764,0.009076,0.009076,0.009076
16,1562.06,1.46453,0.94667,1.23493,0.87047,0.71515,0.79129,0.46129,1.19886,3.54166,1.07652,0.00901,0.00901,0.00901
17,1629.89,1.45477,0.93039,1.23646,0.86497,0.71925,0.79389,0.46208,1.19638,13.2011,1.07362,0.008944,0.008944,0.008944
18,1697.2,1.45521,0.92159,1.23196,0.87751,0.73216,0.80556,0.47472,1.18105,6.08552,1.06523,0.008878,0.008878,0.008878
19,1765.48,1.44633,0.91738,1.23262,0.89005,0.72396,0.81003,0.47875,1.17468,4.31858,1.0681,0.008812,0.008812,0.008812
20,1832.63,1.44514,0.90801,1.22491,0.88705,0.72897,0.80845,0.47682,1.16718,4.10315,1.055,0.008746,0.008746,0.008746
21,1900.44,1.43609,0.90154,1.22055,0.89271,0.73277,0.80705,0.48046,1.17639,2.5304,1.05818,0.00868,0.00868,0.00868
22,1967.96,1.42627,0.89528,1.2139,0.89292,0.73383,0.81449,0.48467,1.15907,2.8823,1.0558,0.008614,0.008614,0.008614
23,2035.97,1.42421,0.88303,1.21401,0.89556,0.73821,0.81559,0.48786,1.1541,2.88839,1.05459,0.008548,0.008548,0.008548
24,2159.55,1.42653,0.88503,1.21541,0.88451,0.74543,0.81858,0.48979,1.14681,3.36636,1.04763,0.008482,0.008482,0.008482
25,2333.83,1.41331,0.87508,1.21612,0.8917,0.74636,0.81884,0.49046,1.14179,4.08599,1.04313,0.008416,0.008416,0.008416
26,2501.51,1.41438,0.87639,1.21118,0.893,0.75008,0.82492,0.49662,1.14177,2.53818,1.04651,0.00835,0.00835,0.00835
27,2674.36,1.41125,0.87276,1.20529,0.89828,0.7437,0.82236,0.49563,1.13092,3.38182,1.03305,0.008284,0.008284,0.008284
28,2846.8,1.40916,0.86405,1.20335,0.89849,0.7522,0.82634,0.49448,1.12776,3.51148,1.03111,0.008218,0.008218,0.008218
29,3021.08,1.39605,0.85514,1.20185,0.89996,0.75402,0.82943,0.49847,1.12269,2.88398,1.02706,0.008152,0.008152,0.008152
30,3192.23,1.4006,0.85467,1.19908,0.88681,0.7642,0.83023,0.50028,1.12719,2.53383,1.03103,0.008086,0.008086,0.008086
31,3364.33,1.39502,0.84983,1.19568,0.90556,0.75175,0.83258,0.50338,1.11259,3.17362,1.02272,0.00802,0.00802,0.00802
32,3536.86,1.39221,0.84803,1.19735,0.90137,0.75349,0.83085,0.50276,1.11126,2.90963,1.02321,0.007954,0.007954,0.007954
33,3703.98,1.38654,0.8505,1.1963,0.89931,0.76078,0.83437,0.50554,1.11083,2.53221,1.02063,0.007888,0.007888,0.007888
34,3771.42,1.38819,0.8458,1.19272,0.90475,0.75858,0.83409,0.50637,1.10509,3.10699,1.01473,0.007822,0.007822,0.007822
35,3839.04,1.37991,0.8352,1.18954,0.9015,0.76253,0.83602,0.50783,1.10117,2.79326,1.0137,0.007756,0.007756,0.007756
36,3906.12,1.38508,0.84166,1.19202,0.89815,0.76587,0.83493,0.50718,1.10347,2.44283,1.01456,0.00769,0.00769,0.00769
37,3974.65,1.36966,0.82702,1.18708,0.89896,0.76597,0.83499,0.50905,1.10116,2.47775,1.0154,0.007624,0.007624,0.007624
38,4042.55,1.38026,0.83299,1.19327,0.90168,0.76404,0.83793,0.50982,1.10012,2.46134,1.01458,0.007558,0.007558,0.007558
39,4110.43,1.36977,0.82582,1.18786,0.90775,0.76192,0.83759,0.50923,1.10103,2.52281,1.01452,0.007492,0.007492,0.007492
40,4177.52,1.37369,0.81926,1.18056,0.90261,0.76845,0.83803,0.51149,1.10195,2.60667,1.01339,0.007426,0.007426,0.007426
41,4244.31,1.36678,0.8274,1.18287,0.89998,0.77195,0.83972,0.51319,1.09555,2.9367,1.00867,0.00736,0.00736,0.00736
42,4313.07,1.36474,0.81983,1.17998,0.90386,0.76784,0.84161,0.51382,1.09176,2.77553,1.00732,0.007294,0.007294,0.007294
43,4382.21,1.36325,0.81853,1.18066,0.90567,0.77117,0.84238,0.51466,1.0916,2.66423,1.00571,0.007228,0.007228,0.007228
44,4451.11,1.35881,0.81489,1.18059,0.90392,0.77133,0.84286,0.51584,1.09079,2.60166,1.00466,0.007162,0.007162,0.007162
45,4520.19,1.35803,0.80939,1.1833,0.90454,0.77265,0.84313,0.51607,1.08794,2.58539,1.00469,0.007096,0.007096,0.007096
