epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.408,3.09662,3.54546,3.36154,0.54579,0.36669,0.38437,0.16764,1.84088,25.6041,2.04955,0.00333024,0.00333024,0.00333024
2,312.377,2.09399,2.01564,2.11832,0.70932,0.50197,0.57588,0.29518,1.551,15.9845,1.64292,0.00661959,0.00661959,0.00661959
3,464.112,1.80739,1.59678,1.77644,0.80885,0.61008,0.70019,0.37504,1.41279,9.45227,1.48289,0.00986495,0.00986495,0.00986495
4,613.269,1.67925,1.40296,1.66268,0.83124,0.66049,0.74612,0.42203,1.3223,6.90248,1.39654,0.009802,0.009802,0.009802
5,763.272,1.59433,1.24175,1.56888,0.8589,0.68889,0.77223,0.42855,1.31324,8.674,1.38262,0.009736,0.009736,0.009736
6,913.539,1.5568,1.15771,1.53647,0.87246,0.70817,0.7946,0.4655,1.2562,4.76141,1.32532,0.00967,0.00967,0.00967
7,1063,1.51687,1.10102,1.50962,0.86627,0.73626,0.80959,0.47947,1.22915,3.02914,1.2992,0.009604,0.009604,0.009604
8,1204.49,1.494,1.06191,1.49053,0.87254,0.75843,0.82763,0.49389,1.2046,3.10637,1.28443,0.009538,0.009538,0.009538
9,1338.81,1.47361,1.02872,1.47256,0.89483,0.75402,0.83667,0.50077,1.20167,3.73726,1.26741,0.009472,0.009472,0.009472
10,1474.25,1.46283,0.99878,1.46039,0.8956,0.76329,0.84227,0.50763,1.17614,3.65312,1.24814,0.009406,0.009406,0.009406
11,1609.06,1.4495,0.98635,1.44591,0.90104,0.76313,0.84117,0.50834,1.1718,3.42126,1.24724,0.00934,0.00934,0.00934
12,1743.91,1.42922,0.95787,1.43052,0.89627,0.76739,0.84593,0.51512,1.1579,2.34017,1.22946,0.009274,0.009274,0.009274
13,1878.89,1.42988,0.9537,1.42221,0.90165,0.76982,0.84953,0.51999,1.14953,3.07916,1.22381,0.009208,0.009208,0.009208
14,2013.98,1.41063,0.93327,1.41623,0.90709,0.78274,0.85625,0.52897,1.13625,2.32213,1.20983,0.009142,0.009142,0.009142
15,2148.32,1.40002,0.91733,1.40678,0.90551,0.7853,0.85668,0.52956,1.13449,2.69158,1.20297,0.009076,0.009076,0.009076
16,2282.31,1.40285,0.90685,1.40471,0.90433,0.79031,0.85928,0.52862,1.12431,1.92069,1.19341,0.00901,0.00901,0.00901
17,2416.14,1.38858,0.89049,1.39162,0.90433,0.79801,0.86821,0.53882,1.11294,3.58689,1.18204,0.008944,0.008944,0.008944
18,2549.97,1.38056,0.88653,1.38502,0.90955,0.79393,0.86642,0.53759,1.10713,2.58272,1.17358,0.008878,0.008878,0.008878
19,2684.04,1.37663,0.88568,1.38321,0.91528,0.79289,0.86896,0.54331,1.10582,2.46069,1.17511,0.008812,0.008812,0.008812
20,2817.91,1.38487,0.87959,1.3843,0.91302,0.80125,0.87193,0.54824,1.09587,2.60006,1.16622,0.008746,0.008746,0.008746
21,2951.95,1.37361,0.86978,1.37815,0.90964,0.79946,0.86955,0.54907,1.09644,2.55058,1.16523,0.00868,0.00868,0.00868
22,3085.77,1.36272,0.85815,1.36674,0.90729,0.80929,0.87514,0.55037,1.09244,2.5864,1.15512,0.008614,0.008614,0.008614
23,3219.73,1.36691,0.85862,1.37458,0.91481,0.80793,0.87515,0.549,1.08976,2.32213,1.15501,0.008548,0.008548,0.008548
24,3354.53,1.35512,0.84667,1.36083,0.91474,0.81218,0.87857,0.55344,1.09411,2.27562,1.15785,0.008482,0.008482,0.008482
25,3488.07,1.35746,0.84783,1.36237,0.91913,0.80793,0.87827,0.55451,1.07621,2.19524,1.14292,0.008416,0.008416,0.008416
26,3621.86,1.34965,0.83696,1.35196,0.9114,0.81537,0.87834,0.55531,1.0797,2.09418,1.14211,0.00835,0.00835,0.00835
27,3755.76,1.34537,0.832,1.34958,0.91285,0.81628,0.88311,0.55922,1.07912,1.92741,1.14258,0.008284,0.008284,0.008284
28,3890.19,1.34281,0.82846,1.34372,0.91131,0.81749,0.88157,0.55977,1.06393,1.98686,1.12676,0.008218,0.008218,0.008218
29,4026.16,1.3403,0.82229,1.34348,0.91251,0.82022,0.88381,0.5612,1.07051,1.75572,1.13165,0.008152,0.008152,0.008152
30,4160.76,1.3384,0.81496,1.34022,0.92586,0.81081,0.88527,0.56263,1.06462,2.11165,1.12915,0.008086,0.008086,0.008086
31,4296,1.3341,0.82019,1.33734,0.90784,0.82711,0.88505,0.56308,1.06725,2.38918,1.12655,0.00802,0.00802,0.00802
32,4430.22,1.3306,0.80866,1.34186,0.91463,0.82463,0.8855,0.56643,1.059,2.00768,1.12762,0.007954,0.007954,0.007954
33,4564.63,1.3256,0.80402,1.33517,0.92017,0.82436,0.88846,0.56697,1.05687,1.93168,1.1254,0.007888,0.007888,0.007888
34,4698.97,1.33373,0.81098,1.33999,0.92105,0.82706,0.88822,0.56772,1.05754,2.04073,1.12271,0.007822,0.007822,0.007822
35,4833.47,1.32238,0.80158,1.32825,0.91692,0.82827,0.88969,0.56967,1.05103,2.01085,1.12178,0.007756,0.007756,0.007756
36,4967.94,1.32804,0.80083,1.33208,0.92399,0.82083,0.88993,0.57038,1.05541,1.8819,1.12144,0.00769,0.00769,0.00769
37,5102.44,1.31847,0.79887,1.32654,0.92762,0.82296,0.89266,0.57367,1.04822,1.92314,1.11341,0.007624,0.007624,0.007624
38,5236.79,1.31159,0.78315,1.32261,0.92295,0.82432,0.89053,0.57452,1.04715,1.85644,1.11177,0.007558,0.007558,0.007558
39,5370.94,1.3148,0.78776,1.3228,0.92136,0.82736,0.89042,0.57446,1.0437,1.80692,1.10993,0.007492,0.007492,0.007492
40,5505.45,1.31091,0.78348,1.31713,0.91838,0.82861,0.8911,0.57541,1.04182,1.87012,1.10889,0.007426,0.007426,0.007426
