epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3050.55,1.4022,0.90819,1.37056,0.9091,0.78227,0.85907,0.53729,1.13211,2.65155,1.15799,0.007228,0.007228,0.007228
44,3121,1.38625,0.9019,1.36475,0.90552,0.78682,0.85956,0.53731,1.12898,2.64957,1.15438,0.007162,0.007162,0.007162
45,3191.48,1.39583,0.90552,1.36684,0.90934,0.78363,0.86041,0.53797,1.126,2.58721,1.15161,0.007096,0.007096,0.007096
46,3262.09,1.39659,0.90558,1.36593,0.9082,0.78709,0.86122,0.53843,1.12455,2.57613,1.15054,0.00703,0.00703,0.00703
47,3332.68,1.38862,0.90103,1.36227,0.90862,0.7853,0.86173,0.53943,1.12311,2.58216,1.14968,0.006964,0.006964,0.006964
48,3403.25,1.38761,0.89405,1.36192,0.9026,0.79138,0.86234,0.54001,1.12345,2.55504,1.14973,0.006898,0.006898,0.006898
49,3473.84,1.38715,0.89144,1.36296,0.89941,0.79423,0.86334,0.54051,1.12352,2.49923,1.15153,0.006832,0.006832,0.006832
50,3544.73,1.3874,0.88742,1.36106,0.90099,0.79726,0.86384,0.54091,1.12305,2.50861,1.1513,0.006766,0.006766,0.006766
51,3615.21,1.37835,0.88231,1.34629,0.90057,0.79775,0.86301,0.54093,1.12254,2.57513,1.14988,0.0067,0.0067,0.0067
52,3685.62,1.38463,0.89031,1.35706,0.90173,0.79381,0.86161,0.54102,1.12193,2.50376,1.14767,0.006634,0.006634,0.006634
53,3756.31,1.38367,0.89699,1.35117,0.90129,0.79532,0.86271,0.54212,1.12231,2.52416,1.14676,0.006568,0.006568,0.006568
54,3826.82,1.37903,0.88796,1.35478,0.90107,0.79699,0.86303,0.54258,1.12113,2.56456,1.14544,0.006502,0.006502,0.006502
55,3897.21,1.37585,0.88434,1.3486,0.90147,0.79699,0.86342,0.543,1.1199,2.58002,1.14428,0.006436,0.006436,0.006436
56,3967.88,1.37655,0.88629,1.34877,0.90288,0.79654,0.86361,0.54291,1.11838,2.57807,1.14321,0.00637,0.00637,0.00637
57,4038.32,1.38172,0.88968,1.34997,0.90416,0.79381,0.86385,0.54294,1.11809,2.56133,1.14258,0.006304,0.006304,0.006304
58,4108.8,1.36488,0.87279,1.34602,0.90406,0.7941,0.86365,0.54337,1.11721,2.55745,1.14213,0.006238,0.006238,0.006238
59,4179.6,1.37425,0.8717,1.34471,0.90332,0.79426,0.86357,0.54384,1.11723,2.56346,1.14196,0.006172,0.006172,0.006172
60,4250.07,1.37124,0.87334,1.34161,0.90364,0.79593,0.86355,0.54374,1.11665,2.54371,1.14069,0.006106,0.006106,0.006106
61,4320.46,1.36815,0.87254,1.34272,0.90164,0.79756,0.8641,0.54396,1.11576,2.52748,1.14023,0.00604,0.00604,0.00604
62,4390.92,1.37043,0.87356,1.34259,0.90133,0.79755,0.86419,0.54403,1.11561,2.52229,1.13977,0.005974,0.005974,0.005974
63,4461.34,1.37218,0.87207,1.34541,0.90189,0.7979,0.86449,0.5446,1.11473,2.51731,1.13877,0.005908,0.005908,0.005908
64,4531.84,1.37336,0.87384,1.34334,0.90242,0.79836,0.8652,0.54464,1.11383,2.50863,1.13845,0.005842,0.005842,0.005842
65,4602.37,1.36792,0.86869,1.34227,0.90338,0.7976,0.86563,0.54523,1.11374,2.51458,1.13804,0.005776,0.005776,0.005776
66,4672.75,1.36991,0.87207,1.34121,0.90361,0.79927,0.86639,0.54538,1.11314,2.49744,1.13737,0.00571,0.00571,0.00571
