Kind,Run,Stage,Model,ImgSize,Epochs,Batch,File,Size (MB),mAP@0.5,mAP@0.5:0.95,Train Time (min),Params (M),FLOPs (G),Latency (ms)
run,runs_train\reduced_min_320_v2,reduced_arch,yolov8n_min.yaml,320,100,32,runs_train\reduced_min_320_v2\weights\best.pt,3.109,0.861,0.54021,211.4,1.5387,0.5748,6.21
run,runs_train\reduced_min_320,reduced_arch,yolov8n_min.yaml,320,10,16,runs_train\reduced_min_320\weights\best.pt,3.603,0.76381,0.44928,18.7,1.7992,0.6469,6.569
run,runs_train\baseline_v8n_320,,yolov8n.pt,320,60,16,runs_train\baseline_v8n_320\weights\best.pt,5.923,0.8879,0.58029,89.7,3.011,1.0243,6.965
