epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.101,3.65373,3.36475,3.27774,0.42894,0.3058,0.27238,0.10078,2.0534,24.982,1.85578,0.00332715,0.00332715,0.00332715
2,189.469,2.24384,1.83995,1.80563,0.69164,0.45192,0.51924,0.24599,1.68643,40.0598,1.43626,0.00659454,0.00659454,0.00659454
3,263.775,1.96344,1.56135,1.54176,0.72942,0.48679,0.56526,0.2821,1.54602,25.1621,1.35655,0.00979594,0.00979594,0.00979594
4,335.854,1.81537,1.39789,1.43895,0.79402,0.57536,0.65868,0.34192,1.45136,10.9071,1.25461,0.009703,0.009703,0.009703
5,451.169,1.71364,1.24938,1.38186,0.7893,0.61031,0.68978,0.37045,1.39852,16.8859,1.21086,0.009604,0.009604,0.009604
6,519.654,1.64411,1.16649,1.33974,0.85326,0.61805,0.71429,0.39424,1.35057,6.97504,1.18909,0.009505,0.009505,0.009505
7,596.005,1.60955,1.11349,1.31859,0.83623,0.6404,0.72822,0.40191,1.33041,6.47841,1.16589,0.009406,0.009406,0.009406
8,664.417,1.58224,1.07519,1.30473,0.8519,0.65958,0.74852,0.42602,1.30493,3.10445,1.16429,0.009307,0.009307,0.009307
9,732.957,1.55887,1.05296,1.29599,0.84784,0.67681,0.75751,0.42553,1.31354,4.91102,1.16651,0.009208,0.009208,0.009208
10,881.222,1.53533,1.02687,1.27878,0.86914,0.68099,0.7671,0.44268,1.262,4.86083,1.13336,0.009109,0.009109,0.009109
11,989.577,1.5135,0.99637,1.26991,0.86543,0.68842,0.77201,0.43939,1.26248,8.10696,1.13251,0.00901,0.00901,0.00901
12,1059.13,1.50692,0.9871,1.26304,0.8703,0.69182,0.7697,0.44153,1.25078,2.72705,1.12361,0.008911,0.008911,0.008911
13,1128.47,1.49443,0.96725,1.25734,0.87154,0.70711,0.78683,0.45296,1.24006,5.51044,1.11569,0.008812,0.008812,0.008812
14,1198.29,1.47934,0.96145,1.25869,0.87683,0.70476,0.79508,0.45988,1.20695,8.82133,1.08741,0.008713,0.008713,0.008713
15,1268.18,1.4677,0.94596,1.24467,0.86723,0.71804,0.79341,0.46514,1.21535,6.42348,1.10041,0.008614,0.008614,0.008614
16,1338.82,1.46058,0.93631,1.23986,0.88904,0.72032,0.79749,0.47015,1.19469,3.03844,1.08246,0.008515,0.008515,0.008515
17,1408.7,1.44571,0.91894,1.23773,0.88514,0.72195,0.80434,0.47398,1.17984,6.23554,1.0732,0.008416,0.008416,0.008416
18,1478.8,1.44548,0.90732,1.23238,0.87877,0.72609,0.8085,0.48014,1.17364,6.46855,1.06589,0.008317,0.008317,0.008317
19,6860,1.43031,0.90113,1.23085,0.88299,0.73596,0.81372,0.48139,1.17314,3.75278,1.07632,0.008218,0.008218,0.008218
20,6929.78,1.43389,0.89227,1.22486,0.89177,0.72811,0.81135,0.48167,1.17275,3.74665,1.07026,0.008119,0.008119,0.008119
21,6998.75,1.4267,0.88818,1.2219,0.88925,0.74248,0.81381,0.48548,1.16364,4.26171,1.06083,0.00802,0.00802,0.00802
22,7068,1.41566,0.8771,1.21512,0.88515,0.74476,0.81801,0.48969,1.1571,3.16486,1.05378,0.007921,0.007921,0.007921
23,7139.78,1.41073,0.8672,1.21165,0.88728,0.74841,0.81936,0.4919,1.1507,2.90273,1.05696,0.007822,0.007822,0.007822
24,7211.52,1.4084,0.86724,1.21227,0.88916,0.74552,0.82068,0.49337,1.14091,4.32662,1.04737,0.007723,0.007723,0.007723
25,7283.04,1.4015,0.86199,1.21418,0.8928,0.74901,0.81925,0.49262,1.13515,3.72685,1.04229,0.007624,0.007624,0.007624
26,7354.37,1.3972,0.85418,1.2056,0.89653,0.75388,0.82665,0.49938,1.13514,3.09417,1.04582,0.007525,0.007525,0.007525
27,7426.1,1.39427,0.85034,1.20251,0.9046,0.74916,0.82826,0.49961,1.1287,3.44041,1.04308,0.007426,0.007426,0.007426
