epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.003,3.73902,3.32697,3.33649,0.26008,0.20908,0.13535,0.03972,2.25711,28.962,2.00764,0.00332715,0.00332715,0.00332715
2,161.66,2.30338,1.91866,1.82773,0.64884,0.41816,0.47085,0.21542,1.71766,40.4819,1.4656,0.00662751,0.00662751,0.00662751
3,215.253,2.0294,1.67888,1.5878,0.69362,0.47264,0.52946,0.25255,1.61162,45.8171,1.38529,0.00989488,0.00989488,0.00989488
4,269.03,1.87489,1.49513,1.47581,0.7598,0.53614,0.61338,0.31064,1.5005,31.7336,1.30176,0.0098515,0.0098515,0.0098515
5,322.657,1.78454,1.37911,1.42035,0.76427,0.5495,0.61729,0.32524,1.46674,17.2743,1.24875,0.009802,0.009802,0.009802
6,378.101,1.72206,1.28953,1.37944,0.78286,0.57561,0.65798,0.35353,1.44685,10.7066,1.23763,0.0097525,0.0097525,0.0097525
7,436.149,1.67889,1.23389,1.34944,0.78435,0.62183,0.69913,0.36769,1.40911,18.6776,1.19915,0.009703,0.009703,0.009703
8,493.027,1.65634,1.19336,1.33688,0.81154,0.62117,0.70287,0.38452,1.34458,16.5009,1.16928,0.0096535,0.0096535,0.0096535
9,550.094,1.62502,1.15707,1.31479,0.84396,0.63809,0.72449,0.39391,1.34789,5.60167,1.1726,0.009604,0.009604,0.009604
10,608.03,1.60403,1.1279,1.30641,0.83955,0.64561,0.73047,0.40457,1.30849,12.1634,1.14258,0.0095545,0.0095545,0.0095545
11,664.197,1.58859,1.10986,1.30188,0.84639,0.64587,0.73636,0.40478,1.32873,6.35296,1.14819,0.009505,0.009505,0.009505
12,721.323,1.57939,1.09627,1.28621,0.83982,0.66233,0.73751,0.41408,1.32567,5.87458,1.15425,0.0094555,0.0094555,0.0094555
13,778.101,1.57183,1.07998,1.27757,0.84677,0.67158,0.75275,0.42037,1.28959,8.372,1.12687,0.009406,0.009406,0.009406
14,834.686,1.56514,1.06845,1.28055,0.85545,0.66307,0.75212,0.42833,1.26647,4.2867,1.11407,0.0093565,0.0093565,0.0093565
15,890.972,1.54216,1.04817,1.26781,0.85783,0.66884,0.74721,0.42658,1.27705,6.10991,1.12427,0.009307,0.009307,0.009307
16,947.194,1.5447,1.04415,1.26877,0.8616,0.68437,0.77037,0.4387,1.25237,7.97305,1.10077,0.0092575,0.0092575,0.0092575
17,1003.36,1.53807,1.04266,1.2619,0.86513,0.68761,0.76862,0.44333,1.24389,5.94932,1.09817,0.009208,0.009208,0.009208
18,1059.84,1.52277,1.02351,1.25782,0.86834,0.68949,0.77137,0.44536,1.22862,4.83408,1.08622,0.0091585,0.0091585,0.0091585
19,1116.36,1.51154,1.01144,1.25276,0.86465,0.69405,0.77248,0.44947,1.2276,7.92209,1.08482,0.009109,0.009109,0.009109
20,1173.21,1.51462,1.00319,1.24867,0.8682,0.68919,0.77621,0.44945,1.2267,6.75547,1.09079,0.0090595,0.0090595,0.0090595
21,1230.06,1.50532,1.00043,1.25343,0.87734,0.69617,0.77832,0.45568,1.21272,5.34258,1.07297,0.00901,0.00901,0.00901
22,1287.36,1.50196,0.99207,1.24521,0.87492,0.69769,0.77991,0.45117,1.22177,5.06392,1.0822,0.0089605,0.0089605,0.0089605
23,1343.55,1.49993,0.99009,1.24409,0.88813,0.6967,0.78445,0.46137,1.20857,3.22632,1.07271,0.008911,0.008911,0.008911
24,1400.46,1.48721,0.98186,1.24325,0.87235,0.7025,0.78139,0.45726,1.20019,5.45341,1.0628,0.0088615,0.0088615,0.0088615
25,1457,1.47977,0.97405,1.23537,0.88173,0.70771,0.78526,0.46325,1.19139,4.30193,1.05999,0.008812,0.008812,0.008812
26,1513.72,1.48575,0.97629,1.23269,0.86753,0.71195,0.78991,0.46525,1.18887,5.17325,1.05756,0.0087625,0.0087625,0.0087625
27,1571.17,1.48799,0.9725,1.23392,0.88617,0.70847,0.79188,0.46736,1.18555,4.07769,1.05734,0.008713,0.008713,0.008713
28,1628.44,1.4743,0.95926,1.23138,0.8857,0.71105,0.78975,0.46786,1.19248,4.93966,1.06066,0.0086635,0.0086635,0.0086635
29,1684.61,1.47728,0.95579,1.23008,0.88483,0.71392,0.79265,0.47118,1.17445,4.20613,1.04455,0.008614,0.008614,0.008614
30,1740.75,1.47146,0.95857,1.2285,0.88676,0.71029,0.79454,0.47098,1.16995,4.77496,1.043,0.0085645,0.0085645,0.0085645
31,1796.87,1.47297,0.95645,1.22667,0.8779,0.72056,0.79594,0.47258,1.17492,3.8135,1.04723,0.008515,0.008515,0.008515
32,1853.74,1.46567,0.94397,1.2219,0.89401,0.71468,0.80127,0.47512,1.1735,3.8533,1.04834,0.0084655,0.0084655,0.0084655
33,1930.2,1.46464,0.94734,1.22186,0.88433,0.72669,0.80134,0.4735,1.17075,4.12954,1.0444,0.008416,0.008416,0.008416
34,1984.76,1.46044,0.95019,1.22291,0.88611,0.72153,0.80023,0.47656,1.16267,4.30551,1.0391,0.0083665,0.0083665,0.0083665
35,2039.38,1.46203,0.95178,1.22003,0.89807,0.71531,0.80295,0.47754,1.16078,3.87329,1.03778,0.008317,0.008317,0.008317
36,2093.83,1.45731,0.93477,1.22288,0.88778,0.72553,0.80305,0.47656,1.155,4.16968,1.03452,0.0082675,0.0082675,0.0082675
37,2148.99,1.45966,0.94049,1.21729,0.88909,0.72426,0.80463,0.47896,1.15226,3.88237,1.03113,0.008218,0.008218,0.008218
38,2226.74,1.44967,0.92777,1.20886,0.89028,0.72442,0.80477,0.47924,1.15339,3.61592,1.02887,0.0081685,0.0081685,0.0081685
39,2280.64,1.45246,0.93149,1.21001,0.88425,0.73049,0.80603,0.48044,1.15428,3.33981,1.02903,0.008119,0.008119,0.008119
40,2334.91,1.44663,0.92749,1.20868,0.88806,0.72684,0.80632,0.48098,1.15272,3.7978,1.02712,0.0080695,0.0080695,0.0080695
41,2389.72,1.43997,0.92639,1.20346,0.89731,0.72609,0.80844,0.482,1.15008,3.78081,1.02618,0.00802,0.00802,0.00802
42,2444.67,1.44662,0.91607,1.20823,0.89348,0.72821,0.80912,0.48248,1.15103,3.50537,1.02825,0.0079705,0.0079705,0.0079705
43,2502.05,1.44616,0.91958,1.20007,0.89141,0.73003,0.80751,0.48327,1.14967,3.41318,1.02514,0.007921,0.007921,0.007921
44,2556.53,1.43722,0.91892,1.20424,0.9008,0.72659,0.81089,0.48431,1.14676,3.36963,1.02109,0.0078715,0.0078715,0.0078715
45,2611.1,1.43465,0.91441,1.20695,0.89843,0.7266,0.81006,0.48464,1.14418,3.47281,1.01955,0.007822,0.007822,0.007822
46,2665.64,1.43696,0.91643,1.19771,0.89209,0.73178,0.81073,0.48616,1.14198,3.4733,1.01949,0.0077725,0.0077725,0.0077725
47,2720.39,1.42973,0.90666,1.19634,0.89575,0.73034,0.81124,0.48612,1.13914,3.36379,1.01771,0.007723,0.007723,0.007723
48,2776.25,1.43247,0.90686,1.19561,0.90236,0.72836,0.81107,0.48632,1.13583,3.41426,1.01533,0.0076735,0.0076735,0.0076735
49,2832.87,1.42941,0.90458,1.19507,0.8939,0.73307,0.81136,0.48775,1.13543,3.33601,1.01364,0.007624,0.007624,0.007624
50,2888.52,1.4252,0.89856,1.19265,0.88973,0.7326,0.81076,0.48769,1.13505,3.25662,1.01378,0.0075745,0.0075745,0.0075745
51,2944.54,1.42551,0.90633,1.19691,0.89095,0.73314,0.81168,0.48736,1.13445,3.23074,1.01356,0.007525,0.007525,0.007525
52,3000.32,1.42206,0.89888,1.19577,0.89114,0.73459,0.81178,0.48802,1.13435,3.28505,1.0135,0.0074755,0.0074755,0.0074755
53,3056.67,1.42776,0.90208,1.1899,0.89568,0.73004,0.81238,0.48867,1.13497,3.31947,1.01367,0.007426,0.007426,0.007426
54,3113.07,1.42202,0.89317,1.1915,0.9008,0.7276,0.81223,0.48916,1.13483,3.34115,1.01344,0.0073765,0.0073765,0.0073765
55,3169.09,1.42186,0.89726,1.19152,0.90453,0.7273,0.81343,0.48962,1.13411,3.36406,1.01363,0.007327,0.007327,0.007327
56,3226.37,1.42011,0.88904,1.19039,0.90545,0.7256,0.81376,0.4897,1.13385,3.36055,1.01417,0.0072775,0.0072775,0.0072775
57,3282.56,1.42604,0.89375,1.19303,0.90383,0.72637,0.81446,0.49045,1.13329,3.38087,1.01382,0.007228,0.007228,0.007228
58,3339.31,1.41898,0.89322,1.19299,0.89902,0.72864,0.81384,0.49073,1.133,3.34634,1.01328,0.0071785,0.0071785,0.0071785
59,3396.26,1.41359,0.88371,1.1865,0.90031,0.72952,0.81471,0.4911,1.13245,3.3163,1.01243,0.007129,0.007129,0.007129
60,3453.99,1.41434,0.88617,1.18576,0.90355,0.72958,0.81472,0.49089,1.13156,3.29457,1.01171,0.0070795,0.0070795,0.0070795
61,3510.61,1.41586,0.88357,1.18914,0.89746,0.73277,0.81577,0.49157,1.13065,3.25743,1.01099,0.00703,0.00703,0.00703
62,3567.1,1.40997,0.88215,1.18013,0.89526,0.73489,0.81577,0.49156,1.12966,3.19906,1.00989,0.0069805,0.0069805,0.0069805
63,3623.05,1.41032,0.88134,1.19047,0.89718,0.73398,0.81668,0.49171,1.12868,3.19567,1.00876,0.006931,0.006931,0.006931
64,3679.23,1.40566,0.87868,1.18392,0.8984,0.73443,0.81629,0.49166,1.12744,3.17366,1.00786,0.0068815,0.0068815,0.0068815
65,3735.57,1.41227,0.88188,1.18252,0.90362,0.7317,0.81721,0.49193,1.12636,3.1522,1.00668,0.006832,0.006832,0.006832
66,3792.18,1.40209,0.87725,1.17614,0.90453,0.73049,0.81776,0.49223,1.12559,3.13756,1.00569,0.0067825,0.0067825,0.0067825
67,3848.6,1.4046,0.88342,1.17583,0.90541,0.7314,0.8181,0.49266,1.12468,3.12669,1.00506,0.006733,0.006733,0.006733
68,3905.03,1.39718,0.87181,1.17342,0.90676,0.73125,0.81841,0.49288,1.12447,3.11588,1.00455,0.0066835,0.0066835,0.0066835
