epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.507,3.22584,3.54753,3.43083,0.50937,0.37018,0.36852,0.16052,1.84484,34.8198,2.07716,0.00333024,0.00333024,0.00333024
2,338.7,2.06391,1.9429,2.10012,0.75794,0.54737,0.62295,0.3223,1.51186,14.0815,1.60876,0.00661959,0.00661959,0.00661959
3,491.905,1.7747,1.53749,1.75846,0.81258,0.6155,0.70807,0.38099,1.39558,8.76481,1.46908,0.00986495,0.00986495,0.00986495
4,642.296,1.6632,1.36003,1.65039,0.83893,0.66984,0.75369,0.42713,1.31937,4.87665,1.39781,0.009802,0.009802,0.009802
5,791.609,1.58668,1.20941,1.56065,0.85219,0.70645,0.78779,0.4486,1.28685,6.75312,1.35604,0.009736,0.009736,0.009736
6,942.475,1.54556,1.13424,1.52776,0.88049,0.72826,0.8123,0.48109,1.23032,4.03342,1.30904,0.00967,0.00967,0.00967
7,1096.56,1.50561,1.07152,1.50217,0.87651,0.73535,0.82002,0.48559,1.21287,3.3959,1.28857,0.009604,0.009604,0.009604
8,1249.15,1.48493,1.04118,1.48617,0.88482,0.74461,0.82672,0.49075,1.21829,3.34002,1.28555,0.009538,0.009538,0.009538
9,1396.65,1.46745,1.00616,1.47053,0.89504,0.76526,0.83921,0.50635,1.19746,4.55929,1.271,0.009472,0.009472,0.009472
10,1544.91,1.45424,0.97735,1.45798,0.88555,0.77657,0.84373,0.5145,1.17198,3.85963,1.23935,0.009406,0.009406,0.009406
11,1697.77,1.43919,0.9629,1.44307,0.88748,0.78325,0.84501,0.51729,1.15772,3.47216,1.23746,0.00934,0.00934,0.00934
12,1851.64,1.41818,0.93381,1.42825,0.90262,0.77558,0.84913,0.51864,1.15382,2.29879,1.23347,0.009274,0.009274,0.009274
13,2011.24,1.42675,0.92554,1.42614,0.90706,0.78537,0.85674,0.52266,1.14845,2.1417,1.2216,0.009208,0.009208,0.009208
14,2205.34,1.40509,0.91025,1.41629,0.90575,0.79062,0.85962,0.53365,1.1384,2.06966,1.20636,0.009142,0.009142,0.009142
15,2363.23,1.39555,0.89661,1.40863,0.90777,0.7935,0.86111,0.53225,1.13087,2.61236,1.20352,0.009076,0.009076,0.009076
16,2518.69,1.3988,0.88576,1.40939,0.91404,0.79113,0.86017,0.53304,1.11747,1.82215,1.20031,0.00901,0.00901,0.00901
17,2674.36,1.38335,0.87491,1.39418,0.90025,0.80024,0.86548,0.53598,1.11498,3.08871,1.19141,0.008944,0.008944,0.008944
18,2828.35,1.37586,0.86873,1.39044,0.90828,0.79993,0.8696,0.54161,1.11337,2.34813,1.1831,0.008878,0.008878,0.008878
19,2981.96,1.37046,0.8631,1.38668,0.91035,0.80328,0.86994,0.54304,1.10805,2.443,1.17299,0.008812,0.008812,0.008812
20,3137.71,1.37501,0.85706,1.38577,0.91342,0.80413,0.87234,0.54571,1.10321,2.85326,1.17516,0.008746,0.008746,0.008746
21,3291.88,1.3676,0.85539,1.38457,0.9174,0.80717,0.87337,0.55022,1.09411,1.98584,1.16872,0.00868,0.00868,0.00868
22,3446.87,1.3592,0.84247,1.37208,0.91798,0.80337,0.87727,0.55267,1.09144,2.36748,1.15967,0.008614,0.008614,0.008614
23,3602.39,1.36273,0.84509,1.38453,0.91522,0.80813,0.87676,0.55021,1.09217,2.12031,1.16765,0.008548,0.008548,0.008548
